title,authors,subjects,category,rating,ratings_count,price,year,source,rating_numeric,ratings_count_numeric,content
Prince Otto,Robert Louis Stevenson,"Classic Literature | Fiction | Fiction, action & adventure | Fiction, historical, general | Fiction, romance, general | Nobility -- Fiction | Man-woman relationships -- Fiction",romance,4.0,1,Not Available,1885,Open Library API,4.0,1.0,"Prince Otto Robert Louis Stevenson Classic Literature | Fiction | Fiction, action & adventure | Fiction, historical, general | Fiction, romance, general | Nobility -- Fiction | Man-woman relationships -- Fiction romance"
Twisted Hate,Ana Huang,Romance | enemies to lovers | contemporary romance | new adult | office romance | forbidden love | angst | steamy romance | alpha male | strong female lead,romance,3.7864077,103,Not Available,2022,Open Library API,3.7864077,103.0,Twisted Hate Ana Huang Romance | enemies to lovers | contemporary romance | new adult | office romance | forbidden love | angst | steamy romance | alpha male | strong female lead romance
Olive Island (Harlequin Romance),Kay Thorpe,,romance,2.625,8,Not Available,1973,Open Library API,2.625,8.0,Olive Island (Harlequin Romance) Kay Thorpe  romance
Not Part of the Bargain,Susan Fox,"Love stories | Fiction, general | Ranchers | Fiction | Arranged marriage",romance,3.8947368,19,Not Available,1989,Open Library API,3.8947368,19.0,"Not Part of the Bargain Susan Fox Love stories | Fiction, general | Ranchers | Fiction | Arranged marriage romance"
Consider Me,Becka Mack,,romance,4.0,4,Not Available,2022,Open Library API,4.0,4.0,Consider Me Becka Mack  romance
Contra Su Voluntad,Sara Craven,"Fiction, romance, general | Fiction | Passion | Romance | Large type books | Fiction, Romance, Contemporary | Married people, fiction | Fiction, romance, contemporary",romance,3.7368422,19,Not Available,2006,Open Library API,3.7368422,19.0,"Contra Su Voluntad Sara Craven Fiction, romance, general | Fiction | Passion | Romance | Large type books | Fiction, Romance, Contemporary | Married people, fiction | Fiction, romance, contemporary romance"
Devil's gateway,Yvonne Whittal,Fiction | Marriage,romance,3.8666666,15,Not Available,1977,Open Library API,3.8666666,15.0,Devil's gateway Yvonne Whittal Fiction | Marriage romance
Rimmer's Way (Harlequin Romance #2098),Jane Corrie,Ranches | Fiction,romance,4.0,12,Not Available,1977,Open Library API,4.0,12.0,Rimmer's Way (Harlequin Romance #2098) Jane Corrie Ranches | Fiction romance
Yesterday's Mirror,Sophie Weston,"Fiction, Romance, Contemporary",romance,4.0,11,Not Available,1986,Open Library API,4.0,11.0,"Yesterday's Mirror Sophie Weston Fiction, Romance, Contemporary romance"
Binding 13,Chloe Walsh,,romance,3.5555556,9,Not Available,2018,Open Library API,3.5555556,9.0,Binding 13 Chloe Walsh  romance
My Dark Romeo,"Parker S. Huntington, L.J. Shen","Fiction, romance, general | Fiction, general",romance,3.625,8,Not Available,2023,Open Library API,3.625,8.0,"My Dark Romeo Parker S. Huntington, L.J. Shen Fiction, romance, general | Fiction, general romance"
"Gentle Tyrant (A Harlequin Romance, 1928)",Lucy Gillen,,romance,3.75,8,Not Available,1975,Open Library API,3.75,8.0,"Gentle Tyrant (A Harlequin Romance, 1928) Lucy Gillen  romance"
Den of Vipers,K. A. Knight,,romance,2.8,5,Not Available,2020,Open Library API,2.8,5.0,Den of Vipers K. A. Knight  romance
The spotted plume,Yvonne Whittal,,romance,2.909091,11,Not Available,1982,Open Library API,2.909091,11.0,The spotted plume Yvonne Whittal  romance
A certain smile,Marjorie Lewty,Fiction in English,romance,3.375,8,Not Available,1979,Open Library API,3.375,8.0,A certain smile Marjorie Lewty Fiction in English romance
Capitães da Areia,Jorge Leal Amado de Faria,"Brazilian fiction | Social conditions | Runaway children | Orphans | Fiction | Fiction, general | Brazil, fiction | Modern Literature | Translations | Portuguese fiction",romance,5.0,4,Not Available,1937,Open Library API,5.0,4.0,"Capitães da Areia Jorge Leal Amado de Faria Brazilian fiction | Social conditions | Runaway children | Orphans | Fiction | Fiction, general | Brazil, fiction | Modern Literature | Translations | Portuguese fiction romance"
Bitter Betrayal,Penny Jordan,"Fiction, Romance, Contemporary",romance,3.5833333,12,Not Available,1989,Open Library API,3.5833333,12.0,"Bitter Betrayal Penny Jordan Fiction, Romance, Contemporary romance"
Blind Date,Emma Darcy,Fiction | Contemporary Romance | celebrity | Harlequin Romance,romance,4.0,10,Not Available,1988,Open Library API,4.0,10.0,Blind Date Emma Darcy Fiction | Contemporary Romance | celebrity | Harlequin Romance romance
Dark pursuer,Jane Donnelly,,romance,2.857143,7,Not Available,1976,Open Library API,2.857143,7.0,Dark pursuer Jane Donnelly  romance
The Devil's Bride,Margaret Pargeter,"Fiction, Romance, Contemporary",romance,2.9285715,14,Not Available,1979,Open Library API,2.9285715,14.0,"The Devil's Bride Margaret Pargeter Fiction, Romance, Contemporary romance"
"The Lancashire Witches, a Romance of Pendle Forest",William Harrison Ainsworth,"Fiction, historical, general | England, fiction | Fiction | History | Witches | Witchcraft | Fiction, horror | Fiction, fantasy, historical | Great britain, fiction | Fiction, occult & supernatural",romance,4.0,1,Not Available,1849,Open Library API,4.0,1.0,"The Lancashire Witches, a Romance of Pendle Forest William Harrison Ainsworth Fiction, historical, general | England, fiction | Fiction | History | Witches | Witchcraft | Fiction, horror | Fiction, fantasy, historical | Great britain, fiction | Fiction, occult & supernatural romance"
The Mysteries of Udolpho,Ann Radcliffe,Castles | Classic Literature | Fiction | Gothic novels | Guardian and ward | Inheritance and succession | Orphans | Young women | Air | Asphyxiating and poisonous Gases,romance,4.0,5,Not Available,1794,Open Library API,4.0,5.0,The Mysteries of Udolpho Ann Radcliffe Castles | Classic Literature | Fiction | Gothic novels | Guardian and ward | Inheritance and succession | Orphans | Young women | Air | Asphyxiating and poisonous Gases romance
Where the South Wind Blows (Harlequin Romance),Anne Hampson,,romance,4.25,4,Not Available,1979,Open Library API,4.25,4.0,Where the South Wind Blows (Harlequin Romance) Anne Hampson  romance
Inside Job,Alexis Knightly,"Fiction, romance, general",romance,4.0,2,Not Available,2023,Open Library API,4.0,2.0,"Inside Job Alexis Knightly Fiction, romance, general romance"
"Irish Thoroughbred (Silhouette Romance, #81)",Nora Roberts,"1980s | Contemporary Fiction | Irish Hearts Series | Romance Fiction | Love stories, American | Fiction, romance, contemporary | Irish americans, fiction | Maryland, fiction | Horse racing | Horse breeding",romance,4.2,10,Not Available,1981,Open Library API,4.2,10.0,"Irish Thoroughbred (Silhouette Romance, #81) Nora Roberts 1980s | Contemporary Fiction | Irish Hearts Series | Romance Fiction | Love stories, American | Fiction, romance, contemporary | Irish americans, fiction | Maryland, fiction | Horse racing | Horse breeding romance"
Dark princess,W. E. B. Du Bois,African American medical students | Racism | Fiction | Women | African Americans | Social Scientists & Psychologists | Minority Studies | Pan-Africanism | Civil rights | Peace Information Center,romance,4.0,1,Not Available,1928,Open Library API,4.0,1.0,Dark princess W. E. B. Du Bois African American medical students | Racism | Fiction | Women | African Americans | Social Scientists & Psychologists | Minority Studies | Pan-Africanism | Civil rights | Peace Information Center romance
A Glastonbury Romance,John Cowper Powys,"Communists | New Age movement | Industrialists | Fiction | Arthurian romances | Appreciation | British and irish fiction (fictional works by one author) | England, fiction | Man-woman relationships, fiction | Adaptations",romance,,,Not Available,1932,Open Library API,,,"A Glastonbury Romance John Cowper Powys Communists | New Age movement | Industrialists | Fiction | Arthurian romances | Appreciation | British and irish fiction (fictional works by one author) | England, fiction | Man-woman relationships, fiction | Adaptations romance"
The Mysterious Affair at Styles,Agatha Christie,Fiction | Mystery | Crime Fiction | Mystery Thriller | Thriller | Adult | Classic Literature | British Literature | Hercule Poirot (Fictitious Character) | Tommy Beresford (Fictitious Character),mystery,4.034483,87,Not Available,1920,Open Library API,4.034483,87.0,The Mysterious Affair at Styles Agatha Christie Fiction | Mystery | Crime Fiction | Mystery Thriller | Thriller | Adult | Classic Literature | British Literature | Hercule Poirot (Fictitious Character) | Tommy Beresford (Fictitious Character) mystery
The Red House Mystery,A. A. Milne,"Mystery and detective stories | Fiction | Detective and mystery stories | England, fiction | Fiction, mystery & detective, general | Large type books | Parodies, imitations | Mansions | Murder | Investigation",mystery,4.4666667,15,Not Available,1922,Open Library API,4.4666667,15.0,"The Red House Mystery A. A. Milne Mystery and detective stories | Fiction | Detective and mystery stories | England, fiction | Fiction, mystery & detective, general | Large type books | Parodies, imitations | Mansions | Murder | Investigation mystery"
A Caribbean Mystery,Agatha Christie,Agatha Christie | Miss Marple | Series | British | Amateur | Detective | Fiction | Classic | Literature | Braille,mystery,4.0,10,Not Available,1964,Open Library API,4.0,10.0,A Caribbean Mystery Agatha Christie Agatha Christie | Miss Marple | Series | British | Amateur | Detective | Fiction | Classic | Literature | Braille mystery
The Mystery of the Blue Train,Agatha Christie,Crimes against | Detective and mystery stories | Divorce | Divorce in fiction | Fiction | Hercule Poirot (Fictitious character) | Jewelry theft | Jewelry theft in fiction | Married women | Married women in fiction,mystery,3.9629629,27,Not Available,1928,Open Library API,3.9629629,27.0,The Mystery of the Blue Train Agatha Christie Crimes against | Detective and mystery stories | Divorce | Divorce in fiction | Fiction | Hercule Poirot (Fictitious character) | Jewelry theft | Jewelry theft in fiction | Married women | Married women in fiction mystery
The Mysterious Benedict Society (The Mysterious Benedict Society #1),Trenton Lee Stewart,Adventure and adventurers | Juvenile fiction | Adventure and adventurers in fiction | Narcolepsy | Schools in fiction | Fiction | Science fiction | Schools | School stories | JUVENILE FICTION / Social Themes / Friendship,mystery,4.2,25,Not Available,2007,Open Library API,4.2,25.0,The Mysterious Benedict Society (The Mysterious Benedict Society #1) Trenton Lee Stewart Adventure and adventurers | Juvenile fiction | Adventure and adventurers in fiction | Narcolepsy | Schools in fiction | Fiction | Science fiction | Schools | School stories | JUVENILE FICTION / Social Themes / Friendship mystery
The Bungalow Mystery,Carolyn Keene,"Children's fiction | Drew, nancy (fictitious character), fiction | Mystery and detective stories | Adventure and adventurers | Detective and mystery stories | Fiction | Juvenile fiction | Mystery | Nancy Drew (Fictitious character) | Women detectives",mystery,4.2222223,9,Not Available,1930,Open Library API,4.2222223,9.0,"The Bungalow Mystery Carolyn Keene Children's fiction | Drew, nancy (fictitious character), fiction | Mystery and detective stories | Adventure and adventurers | Detective and mystery stories | Fiction | Juvenile fiction | Mystery | Nancy Drew (Fictitious character) | Women detectives mystery"
The Sittaford Mystery,Agatha Christie,"English Detective and mystery stories | Detective and mystery stories | Murder | Fiction | Mystery | Seances | Private investigators | Investigation | Fiction, mystery & detective, general | Crime, fiction",mystery,3.6666667,9,Not Available,1931,Open Library API,3.6666667,9.0,"The Sittaford Mystery Agatha Christie English Detective and mystery stories | Detective and mystery stories | Murder | Fiction | Mystery | Seances | Private investigators | Investigation | Fiction, mystery & detective, general | Crime, fiction mystery"
The Seven Dials Mystery,Agatha Christie,English Detective and mystery stories | Fiction | Mystery | Police | Private investigators | Superintendent Battle (Fictitious character) | Translations into Russian | Detective and mystery stories | Adventure | Alarm clocks,mystery,4.111111,9,Not Available,1920,Open Library API,4.111111,9.0,The Seven Dials Mystery Agatha Christie English Detective and mystery stories | Fiction | Mystery | Police | Private investigators | Superintendent Battle (Fictitious character) | Translations into Russian | Detective and mystery stories | Adventure | Alarm clocks mystery
L'Île mystérieuse,Jules Verne,Popular Print Disabled Books | French Adventure stories | French language materials | Translations from French | Open Library Staff Picks | Translations into English | Fiction | French Science fiction | Science fiction | Islands,mystery,4.3461537,26,Not Available,1870,Open Library API,4.3461537,26.0,L'Île mystérieuse Jules Verne Popular Print Disabled Books | French Adventure stories | French language materials | Translations from French | Open Library Staff Picks | Translations into English | Fiction | French Science fiction | Science fiction | Islands mystery
Mysterious skin,Scott Heim,"friendship | gay teenagers | Literature | Sexually abused children | Young men | Fiction | Fiction, mystery & detective, general | Kansas, fiction | Fiction, general",mystery,3.0,2,Not Available,1995,Open Library API,3.0,2.0,"Mysterious skin Scott Heim friendship | gay teenagers | Literature | Sexually abused children | Young men | Fiction | Fiction, mystery & detective, general | Kansas, fiction | Fiction, general mystery"
The Moonstone Castle mystery,Carolyn Keene,"Children's stories | Drew, nancy (fictitious character), fiction | Mystery and detective stories | Children's fiction | Fiction | Juvenile Fiction | Mystery | Detective and mystery stories | Drew, Nancy (Fictitious character) | Missing persons",mystery,4.5,6,Not Available,1963,Open Library API,4.5,6.0,"The Moonstone Castle mystery Carolyn Keene Children's stories | Drew, nancy (fictitious character), fiction | Mystery and detective stories | Children's fiction | Fiction | Juvenile Fiction | Mystery | Detective and mystery stories | Drew, Nancy (Fictitious character) | Missing persons mystery"
The Mysterious Stranger,Mark Twain,"American Humorous stories | Social life and customs | Open Library Staff Picks | Fiction | Manuscripts | Devil | American fiction (fictional works by one author) | Twain, mark, 1835-1910 | Austria, fiction | Fiction, fantasy, historical",mystery,3.8,5,Not Available,1916,Open Library API,3.8,5.0,"The Mysterious Stranger Mark Twain American Humorous stories | Social life and customs | Open Library Staff Picks | Fiction | Manuscripts | Devil | American fiction (fictional works by one author) | Twain, mark, 1835-1910 | Austria, fiction | Fiction, fantasy, historical mystery"
Nancy's Mysterious Letter,Carolyn Keene,"Mystery and detective stories | Children's fiction | Drew, nancy (fictitious character), fiction | Juvenile fiction | Nancy Drew (Fictitious character) | Women detectives | Detective and mystery stories | Adventure and adventurers | Fiction | Mystery",mystery,4.0,9,Not Available,1932,Open Library API,4.0,9.0,"Nancy's Mysterious Letter Carolyn Keene Mystery and detective stories | Children's fiction | Drew, nancy (fictitious character), fiction | Juvenile fiction | Nancy Drew (Fictitious character) | Women detectives | Detective and mystery stories | Adventure and adventurers | Fiction | Mystery mystery"
Mördare utan ansikte,Henning Mankell,"Fiction | Literature | Mystery | Police | crime mysteries | suspense & thriller | Race relations | Murder | Investigation | Fiction, general",mystery,3.6111112,36,Not Available,1993,Open Library API,3.6111112,36.0,"Mördare utan ansikte Henning Mankell Fiction | Literature | Mystery | Police | crime mysteries | suspense & thriller | Race relations | Murder | Investigation | Fiction, general mystery"
Bunnicula,"Deborah Howe, James Howe",Comedy and Humor | Mystery and Suspense | Pets | Curiosity | Confronting and Resolving Fears | Juvenile audience | Fiction | Rabbits | Vampires | Mystery and detective stories,mystery,4.173913,23,Not Available,1979,Open Library API,4.173913,23.0,"Bunnicula Deborah Howe, James Howe Comedy and Humor | Mystery and Suspense | Pets | Curiosity | Confronting and Resolving Fears | Juvenile audience | Fiction | Rabbits | Vampires | Mystery and detective stories mystery"
Death on the Nile,Agatha Christie,"Belgians | Fiction | Hercule Poirot (Fictitious character) | Private investigators | English Detective and mystery stories | murder | Historical Fiction | Mystery | Romance | Poirot, Hercule (Personaje literario)",mystery,4.2,25,Not Available,1937,Open Library API,4.2,25.0,"Death on the Nile Agatha Christie Belgians | Fiction | Hercule Poirot (Fictitious character) | Private investigators | English Detective and mystery stories | murder | Historical Fiction | Mystery | Romance | Poirot, Hercule (Personaje literario) mystery"
The Mystery at Lilac Inn,Carolyn Keene,"Drew, nancy (fictitious character), fiction | Mystery and detective stories | Children's fiction | Adventure and adventurers | Detective and mystery stories | Fiction | Juvenile fiction | Juvenile literature | Mystery | Nancy Drew (Fictitious character)",mystery,4.0,7,Not Available,1930,Open Library API,4.0,7.0,"The Mystery at Lilac Inn Carolyn Keene Drew, nancy (fictitious character), fiction | Mystery and detective stories | Children's fiction | Adventure and adventurers | Detective and mystery stories | Fiction | Juvenile fiction | Juvenile literature | Mystery | Nancy Drew (Fictitious character) mystery"
The Paradise Mystery,Joseph Smith Fletcher,"Classic Literature | Fiction | Mystery | Fiction, thrillers, suspense | England, fiction | Fiction, mystery & detective, general",mystery,1.0,1,Not Available,1920,Open Library API,1.0,1.0,"The Paradise Mystery Joseph Smith Fletcher Classic Literature | Fiction | Mystery | Fiction, thrillers, suspense | England, fiction | Fiction, mystery & detective, general mystery"
A Fatal Grace,Louise Penny,"Murder | Police | Fiction | Investigation | City and town life | Armand Gamache (Fictitious character) | Fiction, mystery & detective, traditional | Fiction, mystery & detective, police procedural | Quebec (province), fiction | Large type books",mystery,3.7272727,11,Not Available,2007,Open Library API,3.7272727,11.0,"A Fatal Grace Louise Penny Murder | Police | Fiction | Investigation | City and town life | Armand Gamache (Fictitious character) | Fiction, mystery & detective, traditional | Fiction, mystery & detective, police procedural | Quebec (province), fiction | Large type books mystery"
The mystery at the ski jump,Carolyn Keene,Nancy Drew (Fictitious character) | Juvenile fiction | Detective and mystery stories | Children's stories | Mystery and detective stories | Women detectives | Impostors and imposture | Children's fiction | Adventure and adventurers | Teenage girl detectives,mystery,4.8,5,Not Available,1952,Open Library API,4.8,5.0,The mystery at the ski jump Carolyn Keene Nancy Drew (Fictitious character) | Juvenile fiction | Detective and mystery stories | Children's stories | Mystery and detective stories | Women detectives | Impostors and imposture | Children's fiction | Adventure and adventurers | Teenage girl detectives mystery
The mysterious Mr Quin,Agatha Christie,"Mystery | English Detective and mystery stories | Fiction | Paranormal fiction | Murder | Investigation | Fiction, mystery & detective, short stories | Fiction, mystery & detective, traditional | England, fiction | Roman policier anglais",mystery,4.0,1,Not Available,1930,Open Library API,4.0,1.0,"The mysterious Mr Quin Agatha Christie Mystery | English Detective and mystery stories | Fiction | Paranormal fiction | Murder | Investigation | Fiction, mystery & detective, short stories | Fiction, mystery & detective, traditional | England, fiction | Roman policier anglais mystery"
Tales of Terror and Mystery,Arthur Conan Doyle,"Classic Literature | English Detective and mystery stories | English Horror tales | English Short stories | Fiction | Horror | Mystery | English literature | Fiction, general | Fiction, thrillers, general",mystery,,,Not Available,1963,Open Library API,,,"Tales of Terror and Mystery Arthur Conan Doyle Classic Literature | English Detective and mystery stories | English Horror tales | English Short stories | Fiction | Horror | Mystery | English literature | Fiction, general | Fiction, thrillers, general mystery"
The Shore Road Mystery,"Franklin W. Dixon, Dixon, Franklin W. (Mc Farlane, Leslie)","Detective and mystery stories | Fiction | Hardy Boys (Fictitious characters) | Juvenile fiction | Mystery | Mystery and detective stories | Hardy boys (fictitious characters), fiction | Children's fiction | series:HardyBoys | collectionID:HBMS1",mystery,4.6666665,3,Not Available,1928,Open Library API,4.6666665,3.0,"The Shore Road Mystery Franklin W. Dixon, Dixon, Franklin W. (Mc Farlane, Leslie) Detective and mystery stories | Fiction | Hardy Boys (Fictitious characters) | Juvenile fiction | Mystery | Mystery and detective stories | Hardy boys (fictitious characters), fiction | Children's fiction | series:HardyBoys | collectionID:HBMS1 mystery"
Mystery Ranch,Gertrude Chandler Warner,Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Family | Families | Brothers and sisters | Fiction | Alden family (Fictitious character) | Child detectives | Mystery and detective stories,mystery,4.181818,11,Not Available,1958,Open Library API,4.181818,11.0,Mystery Ranch Gertrude Chandler Warner Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Family | Families | Brothers and sisters | Fiction | Alden family (Fictitious character) | Child detectives | Mystery and detective stories mystery
Snowbound Mystery,"Gertrude Chandler Warner, David Cunningham, Liz Brizzi",Juvenile fiction | Detective and mystery stories | Snow | Fiction | Orphans | Boxcar children (Fictitious characters) | Brothers and sisters | Family | Family life | Mystery and detective stories,mystery,3.7777777,9,Not Available,1968,Open Library API,3.7777777,9.0,"Snowbound Mystery Gertrude Chandler Warner, David Cunningham, Liz Brizzi Juvenile fiction | Detective and mystery stories | Snow | Fiction | Orphans | Boxcar children (Fictitious characters) | Brothers and sisters | Family | Family life | Mystery and detective stories mystery"
Asimov's Mysteries,Isaac Asimov,American Science fiction | American Detective and mystery stories | Long Now Manual for Civilization,mystery,4.0,4,Not Available,1968,Open Library API,4.0,4.0,Asimov's Mysteries Isaac Asimov American Science fiction | American Detective and mystery stories | Long Now Manual for Civilization mystery
The daffodil murder,Edgar Wallace,"Fiction | Mystery | Fiction, mystery & detective, general | England, fiction | Young women, fiction",mystery,3.1,10,Not Available,1921,Open Library API,3.1,10.0,"The daffodil murder Edgar Wallace Fiction | Mystery | Fiction, mystery & detective, general | England, fiction | Young women, fiction mystery"
Sad Cypress,Agatha Christie,"Fiction | Hercule Poirot (Fictitious character) | Private investigators | Detective and mystery stories | Historical Fiction | Mystery | Romance | Fiction, mystery & detective, general | Poirot, hercule (fictitious character), fiction | Private investigators, fiction",mystery,4.1,10,Not Available,1939,Open Library API,4.1,10.0,"Sad Cypress Agatha Christie Fiction | Hercule Poirot (Fictitious character) | Private investigators | Detective and mystery stories | Historical Fiction | Mystery | Romance | Fiction, mystery & detective, general | Poirot, hercule (fictitious character), fiction | Private investigators, fiction mystery"
Five Little Pigs,Agatha Christie,Hercule Poirot (Fictitious character) | Private investigators | Detective and mystery stories | Open Library Staff Picks | Fiction | Mystery | Large type books | Murder | Investigation | False imprisonment,mystery,4.0,19,Not Available,1942,Open Library API,4.0,19.0,Five Little Pigs Agatha Christie Hercule Poirot (Fictitious character) | Private investigators | Detective and mystery stories | Open Library Staff Picks | Fiction | Mystery | Large type books | Murder | Investigation | False imprisonment mystery
The mystery of Edwin Drood,"Charles Dickens, Samuel Luke Fildes, Charles Bernard Derosne, TC, John Cuming Walters","Missing persons | Triangles (Interpersonal relations) | Fiction | Choral conductors | Separation (Psychology) | British and irish fiction (fictional works by one author) | England, fiction | England in fiction | Choral conductors in fiction | Missing persons in fiction",mystery,5.0,1,Not Available,1870,Open Library API,5.0,1.0,"The mystery of Edwin Drood Charles Dickens, Samuel Luke Fildes, Charles Bernard Derosne, TC, John Cuming Walters Missing persons | Triangles (Interpersonal relations) | Fiction | Choral conductors | Separation (Psychology) | British and irish fiction (fictional works by one author) | England, fiction | England in fiction | Choral conductors in fiction | Missing persons in fiction mystery"
Gaudy night,Dorothy L. Sayers,"Fiction | Private investigators | Lord Wimsey, Peter (Fictitious character) | Harriet Vane (Fictitious character) | Women detectives | Wimsey, Peter, Lord (Fictitious character) | Vane, Harriet (Fictitious character) | Large type books | Fiction, mystery & detective, general | Wimsey, peter, lord (fictitious character), fiction",mystery,4.0,10,Not Available,1935,Open Library API,4.0,10.0,"Gaudy night Dorothy L. Sayers Fiction | Private investigators | Lord Wimsey, Peter (Fictitious character) | Harriet Vane (Fictitious character) | Women detectives | Wimsey, Peter, Lord (Fictitious character) | Vane, Harriet (Fictitious character) | Large type books | Fiction, mystery & detective, general | Wimsey, peter, lord (fictitious character), fiction mystery"
The Technique of the Mystery Story,Carolyn Wells,Detective and mystery stories | Nonfiction | Technique | Creative writing | Fiction | Authorship,mystery,3.0625,16,Not Available,1913,Open Library API,3.0625,16.0,The Technique of the Mystery Story Carolyn Wells Detective and mystery stories | Nonfiction | Technique | Creative writing | Fiction | Authorship mystery
Mystery Mile,Margery Allingham,"Fiction | Private investigators | Private investigators in fiction | Campion, albert (fictitious character), fiction | England, fiction | Fiction, mystery & detective, traditional | Albert Campion (Fictitious character) | Fiction, mystery & detective, general | Criminals, fiction | Large type books",mystery,3.0,4,Not Available,1930,Open Library API,3.0,4.0,"Mystery Mile Margery Allingham Fiction | Private investigators | Private investigators in fiction | Campion, albert (fictitious character), fiction | England, fiction | Fiction, mystery & detective, traditional | Albert Campion (Fictitious character) | Fiction, mystery & detective, general | Criminals, fiction | Large type books mystery"
Whose Body?,Dorothy L. Sayers,"Mystery | Detectives | Lord Wimsey, Peter (Fictitious character) | Translations into Russian | English Detective and mystery stories | Private investigators | Fiction | Police | Classic Literature | Private investigators, fiction",mystery,4.25,28,Not Available,1923,Open Library API,4.25,28.0,"Whose Body? Dorothy L. Sayers Mystery | Detectives | Lord Wimsey, Peter (Fictitious character) | Translations into Russian | English Detective and mystery stories | Private investigators | Fiction | Police | Classic Literature | Private investigators, fiction mystery"
The Yellow House Mystery,Gertrude Chandler Warner,Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Family | Detective and mystery stories | Families | Brothers and sisters | Cousins | Fiction | Grandfathers,mystery,3.857143,7,Not Available,1953,Open Library API,3.857143,7.0,The Yellow House Mystery Gertrude Chandler Warner Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Family | Detective and mystery stories | Families | Brothers and sisters | Cousins | Fiction | Grandfathers mystery
The Hollow,Agatha Christie,Fiction | Hercule Poirot (Fictitious character) | Private investigators | Murder | Mystery | Private investigators in fiction | murder mystery | Large type books | Socialites | Investigation,mystery,3.6666667,9,Not Available,1946,Open Library API,3.6666667,9.0,The Hollow Agatha Christie Fiction | Hercule Poirot (Fictitious character) | Private investigators | Murder | Mystery | Private investigators in fiction | murder mystery | Large type books | Socialites | Investigation mystery
Murder in Mesopotamia,Agatha Christie,Fiction | Hercule Poirot (Fictitious character) | Private investigators | Belgians | Americans | Archaeologists | Mystery | Large type books | Excavations (Archaeology) | Utgrävningar,mystery,4.214286,14,Not Available,1936,Open Library API,4.214286,14.0,Murder in Mesopotamia Agatha Christie Fiction | Hercule Poirot (Fictitious character) | Private investigators | Belgians | Americans | Archaeologists | Mystery | Large type books | Excavations (Archaeology) | Utgrävningar mystery
The Hidden Window Mystery,Carolyn Keene,"Drew, nancy (fictitious character), fiction | Mystery and detective stories | Children's fiction | Fiction | Juvenile Fiction | Mystery | Drew, Nancy (Fictitious character) | Nancy Drew (Fictitious character) | Women detectives | Detective and mystery stories",mystery,4.5,2,Not Available,1956,Open Library API,4.5,2.0,"The Hidden Window Mystery Carolyn Keene Drew, nancy (fictitious character), fiction | Mystery and detective stories | Children's fiction | Fiction | Juvenile Fiction | Mystery | Drew, Nancy (Fictitious character) | Nancy Drew (Fictitious character) | Women detectives | Detective and mystery stories mystery"
Motel of the mysteries,David Macaulay,"Humor | Modern Civilization | Antiquities | Anecdotes | Fiction in English | Egyptology | Tutankhamun | Motel Life | Archeology | Fiction, humorous, general",mystery,3.6,5,Not Available,1979,Open Library API,3.6,5.0,"Motel of the mysteries David Macaulay Humor | Modern Civilization | Antiquities | Anecdotes | Fiction in English | Egyptology | Tutankhamun | Motel Life | Archeology | Fiction, humorous, general mystery"
Mountain Top Mystery,"Gertrude Chandler Warner, Liz Brizzi, David Cunningham",Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Family | Families | Detective and mystery stories | Mystery and detective stories | Children: Grades 2-3 | Fiction | Mountaineering,mystery,3.8,5,Not Available,1964,Open Library API,3.8,5.0,"Mountain Top Mystery Gertrude Chandler Warner, Liz Brizzi, David Cunningham Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Family | Families | Detective and mystery stories | Mystery and detective stories | Children: Grades 2-3 | Fiction | Mountaineering mystery"
Blue Bay Mystery,Gertrude Chandler Warner,Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Families | Family | Detective and mystery stories | Sea stories | Fiction | Mystery and detective stories | Brothers and sisters,mystery,4.5555553,9,Not Available,1961,Open Library API,4.5555553,9.0,Blue Bay Mystery Gertrude Chandler Warner Juvenile fiction | Boxcar children (Fictitious characters) | Orphans | Families | Family | Detective and mystery stories | Sea stories | Fiction | Mystery and detective stories | Brothers and sisters mystery
The Murder of Roger Ackroyd,Agatha Christie,detective fiction | mystery | murder | investigation | victim | Private investigators | Detective and mystery stories | Fiction | Mystery & Detective fiction | historical fiction,mystery,4.233766,77,Not Available,1926,Open Library API,4.233766,77.0,The Murder of Roger Ackroyd Agatha Christie detective fiction | mystery | murder | investigation | victim | Private investigators | Detective and mystery stories | Fiction | Mystery & Detective fiction | historical fiction mystery
The Mystery of Cloomber,Arthur Conan Doyle,"Fiction | Revenge | Officers | East India Company | Buddhist priests | East India Company. Army | Massacres | English Detective and mystery stories | British and irish fiction (fictional works by one author) | Fiction, mystery & detective, general",mystery,4.5,2,Not Available,1895,Open Library API,4.5,2.0,"The Mystery of Cloomber Arthur Conan Doyle Fiction | Revenge | Officers | East India Company | Buddhist priests | East India Company. Army | Massacres | English Detective and mystery stories | British and irish fiction (fictional works by one author) | Fiction, mystery & detective, general mystery"
